d,seed,first_hit_iteration,initial_relative_squared_error,final_relative_squared_error,eta1,eta2,exact_rip_delta,condition_number
32,9201,87,1.0000356470038665,3.6095800628090164e-32,0.1,0.1,0.0,1.0000000000000004
32,9202,82,0.9999192569261331,2.4018874971195714e-32,0.1,0.1,0.0,1.0000000000000004
32,9203,104,1.0000568145401099,2.9083505419484127e-32,0.09999999999999998,0.09999999999999998,0.0,1.0000000000000002
32,9204,80,0.9999978569060419,3.1667130481475164e-32,0.1,0.1,0.0,1.0
32,9205,77,0.99995565184375,4.1550846809776293e-32,0.09999999999999998,0.09999999999999998,0.0,1.0000000000000004
64,9201,89,0.9999835143225337,2.9157166028103984e-32,0.09999999999999998,0.09999999999999998,0.0,1.0
64,9202,96,0.9999811759862391,2.870460405001076e-32,0.1,0.1,0.0,1.0000000000000004
64,9203,107,0.9999964459479157,3.4005996294059626e-32,0.1,0.1,0.0,1.0000000000000007
64,9204,108,1.0000045322184483,3.1112666095378563e-32,0.09999999999999998,0.09999999999999998,0.0,1.0000000000000002
64,9205,96,1.000071675962717,2.2802695885584386e-32,0.09999999999999996,0.09999999999999996,0.0,1.0000000000000007
128,9201,97,0.9999994220919655,2.651601913927128e-32,0.1,0.1,0.0,1.0000000000000004
128,9202,89,1.0000003496188261,3.04923774183925e-32,0.09999999999999998,0.09999999999999998,0.0,1.0000000000000004
128,9203,122,0.9999980466746112,3.1090928708054307e-32,0.09999999999999992,0.09999999999999992,0.0,1.0000000000000013
128,9204,85,1.0000072227174293,2.5265496720940273e-32,0.1,0.1,0.0,1.0000000000000002
128,9205,107,1.0000297753813912,2.4217848934105808e-32,0.09999999999999998,0.09999999999999998,0.0,1.0000000000000007
256,9201,89,0.9999864855087829,2.750354563924676e-32,0.09999999999999996,0.09999999999999996,0.0,1.0000000000000009
256,9202,102,0.9999996081040701,3.0627597767181497e-32,0.09999999999999996,0.09999999999999996,0.0,1.0000000000000007
256,9203,107,1.0000002505266032,2.577351712521174e-32,0.09999999999999996,0.09999999999999996,0.0,1.0000000000000009
256,9204,110,1.000005767092272,2.290524764539736e-32,0.09999999999999998,0.09999999999999998,0.0,1.0000000000000002
256,9205,93,0.9999996545443605,2.751826719074996e-32,0.09999999999999996,0.09999999999999996,0.0,1.000000000000001
512,9201,101,0.999997030668281,3.212224287866004e-32,0.09999999999999998,0.09999999999999998,0.0,1.0000000000000007
512,9202,99,0.9999966083406105,2.310741258806419e-32,0.10000000000000003,0.10000000000000003,0.0,1.0000000000000004
512,9203,102,0.9999943439014288,2.8454504947854217e-32,0.09999999999999996,0.09999999999999996,0.0,1.0000000000000004
512,9204,122,1.0000036422458196,2.937344518182102e-32,0.09999999999999996,0.09999999999999996,0.0,1.0000000000000007
512,9205,95,1.0000020990217637,2.558069640635163e-32,0.09999999999999996,0.09999999999999996,0.0,1.0000000000000007
1024,9201,98,1.000001644519575,2.6262866276410465e-32,0.09999999999999998,0.09999999999999998,0.0,1.0000000000000004
1024,9202,117,0.99999967966998,2.8990975018173674e-32,0.09999999999999998,0.09999999999999998,0.0,1.0000000000000004
1024,9203,142,0.9999997107177574,2.447030116187986e-32,0.09999999999999996,0.09999999999999996,0.0,1.0000000000000007
1024,9204,110,1.0000016234755194,2.739843582410068e-32,0.09999999999999996,0.09999999999999996,0.0,1.0000000000000009
1024,9205,114,1.0000036941668362,3.063856087169094e-32,0.09999999999999998,0.09999999999999998,0.0,1.0000000000000002
